STAGE,DATASET,ROI,ROI_T,HPF,ANG,ANG_CORR,IL_ANG,DEG_IL,DEG_IL_CORR,DEG_IL_CORR-2,REGION,NOTES,,,,,,,,,,,,,,,
38,WT2,32,20,,-53.13,126.87,5.87,121,121,59,IL-P,,,,,,,,,,,,,,,,
38,WT2,33,19,,-47.49,132.51,5.87,126.64,126.64,53.36,A,,,,,,,,,,,,,,,,
38,WT2,34,22,,-107.526,72.474,5.87,66.604,66.604,113.396,A,,,,,,,,,,,,,,,,
38,WT2,35,21,,0,0,5.87,-5.87,174.13,5.87,A,,,,,,,,,,,,,,,,
38,WT2,36,23,,-158.199,21.801,5.87,15.931,15.931,164.069,P,,,,,,,,,,,,,,,,
38,WT2,37,23,,-118.301,61.699,5.87,55.829,55.829,124.171,A,,,,,,,,,,,,,,,,
38,WT2,38,23,,-85.03,94.97,5.87,89.1,89.1,90.9,A,,,,,,,,,,,,,,,,
38,WT2,39,24,,-95.194,84.806,5.87,78.936,78.936,101.064,P,,,,,,,,,,,,,,,,
38,WT2,40,26,,-32.005,147.995,5.87,142.125,142.125,37.875,A,,,,,,,,,,,,,,,,
38,WT2,41,28,,-90,90,5.87,84.13,84.13,95.87,A,,,,,,,,,,,,,,,,
38,WT2,42,28,,-125.838,54.162,5.87,48.292,48.292,131.708,A,,,,,,,,,,,,,,,,
38,WT2,43,28,,-5.194,174.806,5.87,168.936,168.936,11.064,A,,,,,,,,,,,,,,,,
38,WT2,44,27,,-105.524,74.476,5.87,68.606,68.606,111.394,A,*Spindle rotated before division,,,,,,,,,,,,,,,
38,WT2,45,27,,-109.983,70.017,5.87,64.147,64.147,115.853,P,,,,,,,,,,,,,,,,
38,WT2,46,26,,1.848,1.848,5.87,-4.022,175.978,4.022,P,,,,,,,,,,,,,,,,
38,WT2,47,26,,-21.801,158.199,5.87,152.329,152.329,27.671,P,,,,,,,,,,,,,,,,
38,WT2,48,30,,-159.146,20.854,5.87,14.984,14.984,165.016,A,,,,,,,,,,,,,,,,
38,WT2,49,32,,-108.435,71.565,5.87,65.695,65.695,114.305,A,,,,,,,,,,,,,,,,
38,WT2,50,33,,-120.964,59.036,5.87,53.166,53.166,126.834,A,,,,,,,,,,,,,,,,
38,WT2,51,33,,52.696,52.696,5.87,46.826,46.826,133.174,IL-A,,,,,,,,,,,,,,,,
38,WT2,52,34,,-74.932,105.068,5.87,99.198,99.198,80.802,A,,,,,,,,,,,,,,,,
38,WT2,53,34,,24.444,24.444,5.87,18.574,18.574,161.426,A,,,,,,,,,,,,,,,,
38,WT2,54,35,,-58.241,121.759,5.87,115.889,115.889,64.111,A,,,,,,,,,,,,,,,,
38,WT2,55,35,,54.162,54.162,5.87,48.292,48.292,131.708,A,,,,,,,,,,,,,,,,
38,WT2,56,35,,-93.18,86.82,5.87,80.95,80.95,99.05,A,,,,,,,,,,,,,,,,
38,WT2,57,36,,0,0,5.87,-5.87,174.13,5.87,A,,,,,,,,,,,,,,,,
38,WT2,58,36,,5.44,5.44,5.87,-0.43,179.57,0.43,A,,,,,,,,,,,,,,,,
38,WT2,59,4,,-55.491,124.509,5.87,118.639,118.639,61.361,A,,,,,,,,,,,,,,,,
38,WT2,60,36,,-23.629,156.371,5.87,150.501,150.501,29.499,A,,,,,,,,,,,,,,,,
38,WT2,61,30,,-78.111,101.889,5.87,96.019,96.019,83.981,P,,,,,,,,,,,,,,,,
38,WT2,62,1,,-79.509,100.491,5.87,94.621,94.621,85.379,P,,,,,,,,,,,,,,,,
38,WT2,63,25,,-74.476,105.524,5.87,99.654,99.654,80.346,P,,,,,,,,,,,,,,,,
44,WT2,1,2,,1.548,1.548,148.483,146.935,146.935,146.935,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT2,2,1,,-22.62,157.38,148.483,-8.897,171.103,171.103,P,,,,,,,,,,,,,,,,
44,WT2,3,3,,-7.461,172.539,148.483,-24.056,155.944,155.944,P,,,,,,,,,,,,,,,,
44,WT2,4,8,,-33.275,146.725,148.483,1.758,1.758,1.758,P,,,,,,,,,,,,,,,,
44,WT2,5,1,,-17.526,162.474,148.483,-13.991,166.009,166.009,IL-P,,,,,,,,,,,,,,,,
44,WT2,6,2,,-167.471,12.529,148.483,135.954,135.954,135.954,A,,,,,,,,,,,,,,,,
44,WT2,7,2,,-115.866,64.134,148.483,84.349,84.349,84.349,A,,,,,,,,,,,,,,,,
44,WT2,8,4,,-11.768,168.232,148.483,-19.749,160.251,160.251,A,,,,,,,,,,,,,,,,
